RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
48883,Affton,Missouri,2135,131600,140800,132500,1.34E+05,131600,139300,1.39E+05,139300,134400,133800,121600,123400,121700,133900,130600,133300,129900,131400,134700,1.41E+05,141600,139600,121200,108900,107500,1.19E+05,128900,1.24E+05,127200,123400,128600,119500,121200,117400,114700,119400,113200,118700,113800,121600,124700,120200,117100,108100,105600,109800,108100,1.10E+05,102100,112900,116700,120400,117700,111400,113400,111400,113600,101400,94300,99500,111500,122100,126500,125400,122600,117800,117800,121600,115200,111100,110500,119100,120900,119900,118700,125500,123900,1.24E+05,120700,119700,122200,119900,1.26E+05,126400,129900,126100,124800,126300,130700,129900,129500,126600,129700,139100,1.40E+05,137800,128200,130700,133900,134300,138800,139500,138700,134400,1.31E+05,136600,134800,140900,141100,144300,139100,1.35E+05,1.35E+05,143800,148800,152200,148500,151200,143400,143300,140900,147400,149700,145600,144900,140100,1.46E+05,151500,154800,151500,144100,150400,144800,149600,143400
30906,Clanton,Alabama,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,92100,93800,107100,104200,116100,95900,110100,99400,1.02E+05,101200,104400,115700,126200,117200,92900,9.10E+04,92900,115100,102500,105100,110800,113300,111700,95900,100500,104600,106100,111100,116600,140700,129700,133900,133100,136800,131100,118400,121600,122200,108600,114500,1.05E+05,130800,
53086,Lynden,Washington,2137,320400,281200,248900,256700,273700,269700,271900,287200,310700,2.96E+05,270700,250400,2.45E+05,237400,248800,265900,272500,256400,248100,2.55E+05,273600,257500,252900,240200,257800,254300,260700,252700,265900,268200,259200,252500,252500,286300,282500,288400,279400,278300,263100,259600,255200,2.55E+05,230400,219500,205100,2.09E+05,245800,263500,278800,242500,233400,226800,242400,241600,241700,234200,244300,2.36E+05,255600,264200,259200,233100,223900,243500,258300,251800,246900,245200,239200,238300,240700,2.49E+05,238400,2.35E+05,235300,249700,251500,260800,249900,252100,247600,263100,277900,282900,2.88E+05,276600,283100,274800,278300,273400,277800,279400,285400,287700,287600,277600,270300,278700,289300,289800,288200,281100,292300,296400,302600,298400,294500,309500,3.25E+05,329100,320600,316900,327800,342500,343400,340400,340500,334200,320700,308600,3.16E+05,333400,358200,377800,373400,356300,344700,3.63E+05,377300,374500,367600,353400,3.62E+05,359300,358100
38921,Haughton,Louisiana,2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205500,176100,181900,179600,183400,199400,204200,199100,173300,172500,174200,182200,181600,193900,188400,1.87E+05,174100,181800,181800,185600,185800,181200,202100,1.99E+05,1.99E+05,179600,177200,183300,182500,179300,174600,169300,172500,183100,190500,192600,181100,185200,
8254,Clarkston,Washington,2139,147800,137600,137700,137900,146800,146400,158700,1.64E+05,160900,1.41E+05,134500,139400,137700,132700,125600,127600,133100,132800,142500,142300,146200,139800,146400,146800,146200,135900,135800,1.41E+05,146400,152600,173900,171900,167400,147800,141100,130100,137500,136200,152900,147600,152800,140400,147200,1.51E+05,165800,151700,161700,145600,143800,129900,1.37E+05,144300,152400,1.57E+05,170400,170300,177100,157500,165900,162500,166900,1.44E+05,138400,142800,146700,146600,148600,154200,152800,154600,167500,1.78E+05,174300,1.65E+05,154600,156800,155200,158300,156400,160900,156800,159400,157100,156400,163100,163900,158300,160600,165100,169400,157500,1.53E+05,151500,158800,144100,152600,145100,163600,164200,164200,1.61E+05,155900,164600,1.68E+05,1.82E+05,173600,168400,157100,161100,157800,177200,181600,192900,190200,188700,182500,180300,181900,183900,174100,191600,212600,211800,194100,175700,188300,208400,217100,219100,200500,198500,189400,183800,166300,
46578,Monroe,Connecticut,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267200,334200,319800,331800,299500,329200,326500,318200,320700,324500,338200,359500,352200,341800,315100,310100,336900,344300,364600,338200,366600,351800,350100,313100,297200,320300,317600,3.26E+05,3.18E+05,339200,354100,359200,369100,350700,341700,344200,345500
45612,Haines City,Florida,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114400,119100,121500,122100,1.16E+05,118500,103900,106900,103900,113900,117800,122700,132400,133800,134600,128100,129400,131600,140800,141800,144100,144800,144400,144500,144600,137800,138300,136400,146500,142900,146900,147900,152800,151700,153400,149900,150700,147700,1.49E+05,150300,153400,155100,155600,157500,162900,163700,167700,174500,178500,177800,177200,1.82E+05,186300,188100,186400,177300,174700,177600,183300,1.82E+05,175900,176200,186600,203200,208300,205200,200200,1.94E+05,188400,186200,1.96E+05
14573,West Saint Paul,Minnesota,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100,183400,182200,187500,184500,187400,1.82E+05,187500,183700,188400,192500,195400,194400,190200,195200,202500,2.05E+05,203600,208800,2.10E+05,213400,206700,215400,2.19E+05,225300,222600,207900,198900,201200,2.19E+05,227100,217900,213400
28253,Brevard,North Carolina,2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158800,168700,173300,1.69E+05,169900,1.57E+05,167300,174600,160700,148700,153600,185200,194600,1.93E+05,183900,162400,135500,1.33E+05,146600,167300,156700,156300,155100,157600,159700,157600,163700,158300,161400,165700,179100,176700,175600,185100,203900,207700,194200,179200,171100,186300,192400,194600,175600,191100,202200,213500,190300,187900,180700,196700,195400,206900,2.04E+05,196900,198100,185300,202400,188400,192300,196300,210100,220600,217600,219100,208200,208100,204900,216200,219100,230900,240400,2.32E+05,244400,238500,248200,224300,230600,243300,250500,248100,221700,2.11E+05,2.06E+05,213100,217100,237100,241800,254700,226800,223700,234800,244300,258200,233300,225300
4603,Erlanger,Kentucky,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,9.20E+04,98300,96600,90300,8.00E+04,88700,85400,9.90E+04,91900,104400,99600,109200,101100,89800,84800,88700,86200,80300,81900,90500,105300,105200,107400,96100,94500,84600,7.90E+04,81600,87200,92700,93400,92700,91700,94500,98300,1.02E+05,95200,100400,1.02E+05,109200,107300,109600,111600,113100,112500,109700,107500,1.03E+05,1.06E+05,104300,108600,110900,117100,131200,123700,122800,110900,120500,120100,118400,116300,114800,121100,118800,119800,113800,112900,125700,132400,134100,122200,120500,124200,127400,1.24E+05,123700,121900,126400,127600,141900,138100,133400,118500,1.21E+05,126500,130400,133200,1.31E+05,136700,143800,145400,153100,148800,
